Run ID;Liczba rodziców;Generacja;Fitness;Czas [s]
0;2;1059;-46.3728;1.0650
0;3;102;-36.3728;1.0725
0;4;115;-62.1548;1.0162
0;5;20;-46.3728;1.0547
0;6;31;-36.3728;1.0192
0;7;920;-62.1548;1.0120
0;8;70;-62.1548;1.0268
0;9;12;-36.3728;1.2371
0;10;0;-58.1052;1.0829
1;2;408;-42.3304;1.0557
1;3;190;-36.3728;1.0543
1;4;1262;-36.3728;1.0412
1;5;34;-36.3728;1.1633
1;6;6;-36.3728;1.2277
1;7;115;-36.3728;1.2251
1;8;85;-46.3728;1.0149
1;9;25;-36.3728;1.2284
1;10;12;-36.3728;1.2047
2;2;335;-36.3728;1.0507
2;3;310;-36.3728;1.0358
2;4;37;-46.3728;1.2321
2;5;1267;-36.3728;1.0050
2;6;2;-36.3728;1.0794
2;7;63;-62.2048;1.0178
2;8;1;-42.3304;1.0358
2;9;15;-62.2048;1.0080
2;10;1175;-62.2048;0.9838
3;2;1208;-36.3728;1.0400
3;3;38;-62.1548;1.0352
3;4;154;-62.1548;1.0641
3;5;0;-58.1052;1.0489
3;6;29;-36.3728;1.2210
3;7;45;-49.3151;1.0025
3;8;54;-46.3728;1.1688
3;9;855;-62.1548;1.0104
3;10;18;-36.3728;1.2003
4;2;615;-62.1548;1.0025
4;3;453;-36.3728;1.0400
4;4;793;-62.1298;1.0164
4;5;298;-36.3728;1.1118
4;6;164;-36.3728;1.2132
4;7;18;-62.2048;1.0178
4;8;0;-58.1052;1.1364
4;9;525;-36.3728;1.2331
4;10;1196;-62.1548;1.0504
5;2;1446;-36.3728;1.0729
5;3;149;-62.1548;1.0631
5;4;495;-62.1548;1.0405
5;5;875;-62.1548;1.0188
5;6;0;-58.1052;1.0213
5;7;123;-36.3728;1.2173
5;8;38;-36.3728;1.2651
5;9;0;-58.1052;1.0191
5;10;621;-36.3728;1.2036
6;2;298;-36.3728;1.1167
6;3;382;-36.3728;1.0719
6;4;1;-36.3728;1.1694
6;5;25;-36.3728;1.0633
6;6;52;-36.3728;1.0826
6;7;286;-62.1548;1.0164
6;8;13;-62.1298;1.0106
6;9;1014;-62.1548;1.0333
6;10;14;-36.3728;1.2069
7;2;64;-46.3728;1.0982
7;3;19;-36.3728;1.0888
7;4;1167;-36.3728;1.1147
7;5;391;-36.3728;1.0243
7;6;75;-46.3728;1.0158
7;7;143;-62.1548;1.0159
7;8;268;-62.1548;1.0292
7;9;34;-36.3728;1.2375
7;10;19;-36.3728;1.2071
8;2;326;-36.3728;1.0612
8;3;38;-36.3728;1.0707
8;4;49;-36.3728;1.2047
8;5;0;-58.1052;1.0206
8;6;33;-36.3728;1.1640
8;7;0;-58.1052;1.0184
8;8;0;-58.1052;1.0364
8;9;0;-58.1052;1.0075
8;10;483;-36.3728;1.2055
9;2;10;-36.3728;1.0775
9;3;19;-46.3728;1.0605
9;4;103;-36.3728;1.1048
9;5;38;-36.3728;1.1751
9;6;66;-62.1548;1.0247
9;7;28;-36.3728;1.1035
9;8;2;-36.3728;1.2283
9;9;51;-62.1548;1.0173
9;10;20;-36.3728;0.9925
